term,posting
studies,cosmos_showStudies
omics,cosmos_showOmicsData
translational,cosmos_showOmicsData
patients,cosmos_showPatients
subject,cosmos_showPatients
subjects,cosmos_showPatients
clinical,cosmos_showAvailableClinicalData
omics,cosmos_showAvailableOmicsMetadata
metadata,cosmos_showAvailableOmicsMetadata
meta,cosmos_showAvailableOmicsMetadata
study,cosmos_getClinicalDataForStudy
clinical,cosmos_getClinicalDataForStudy
timepoint,cosmos_getMatchingTimePointClinicalDataForOmics
time,cosmos_getMatchingTimePointClinicalDataForOmics
clinical,cosmos_getMatchingTimePointClinicalDataForOmics
translational,cosmos_getMatchingTimePointClinicalDataForOmics
omics,cosmos_getMatchingTimePointClinicalDataForOmics
timepoint,cosmos_getAnyTimePointClinicalDataForOmics
time,cosmos_getAnyTimePointClinicalDataForOmics
clinical,cosmos_getAnyTimePointClinicalDataForOmics
translational,cosmos_getAnyTimePointClinicalDataForOmics
omics,cosmos_getAnyTimePointClinicalDataForOmics
patients,cosmos_getAllClinicalDataForSubject
patient,cosmos_getAllClinicalDataForSubject
subject,cosmos_getAllClinicalDataForSubject
clinical,cosmos_getAllClinicalDataForSubject
patient,cosmos_showPatients
study,cosmos_showStudies
studies,cosmos_getClinicalDataForStudy
clinical,cosmos_getAllClinicalDataForStudy
study,cosmos_getAllClinicalDataForStudy
